lambda,s_lambda,dlambda_ds
0.16694597298649325,0.3553047057900205,0.7186202966704169
0.16744122061030517,0.3559935051112815,0.7193827551793639
0.16793646823411706,0.35668157598374417,0.720142682236159
0.168431715857929,0.35736892235733597,0.7209000864511311
0.16892696348174088,0.35805554815373775,0.7216549763723747
0.16942221110555278,0.3587414572666776,0.7224073604863764
0.1699174587293647,0.3594266535622208,0.7231572472186257
0.1704127063531766,0.3601111408790556,0.7239046449342287
0.17090795397698852,0.360794923028776,0.7246495619385102
0.17140320160080041,0.36147800379616013,0.7253920064776008
0.1718984492246123,0.3621603869394453,0.7261319867390265
0.17239369684842423,0.3628420761905997,0.7268695108522868
0.17288894447223613,0.3635230752555901,0.7276045868894225
0.17338419209604802,0.3642033878146464,0.7283372228655841
0.17387943971985995,0.36488301752252306,0.7290674267395802
0.17437468734367184,0.3655619680087564,0.7297952064144321
0.17486993496748376,0.3662402428779194,0.7305205697379173
0.17536518259129566,0.3669178457098726,0.7312435245030973
0.17586043021510755,0.36759478006001256,0.7319640784488558
0.17635567783891948,0.3682710494595164,0.732682239260411
0.17685092546273137,0.36894665741558363,0.7333980145698389
0.1773461730865433,0.36962160741167505,0.7341114119565768
0.1778414207103552,0.3702959029077483,0.7348224389479286
0.1783366683341671,0.37096954734049076,0.7355311030195621
0.178831915957979,0.37164254412354947,0.7362374115959958
0.1793271635817909,0.3723148966477579,0.7369413720510856
0.17982241120560283,0.3729866082813605,0.737642991708501
0.18031765882941472,0.3736576823702336,0.7383422778422021
0.18081290645322662,0.37432812223810474,0.7390392376768996
0.18130815407703854,0.3749979311867681,0.7397338783885219
0.18180340170085044,0.37566711249629803,0.7404262071046653
0.18229864932466233,0.37633566942525976,0.7411162309050464
0.18279389694847425,0.3770036052109176,0.7418039568219488
0.18328914457228615,0.3776709230694402,0.742489391840655
0.18378439219609807,0.3783376261961043,0.7431725428998871
0.18427963981990997,0.37900371776549446,0.7438534168922329
0.18477488744372186,0.3796692009317022,0.7445320206645674
0.1852701350675338,0.38033407882852116,0.7452083610184741
0.18576538269134568,0.3809983545696408,0.7458824447106553
0.1862606303151576,0.38166203124883763,0.7465542784533451
0.1867558779389695,0.38232511194016383,0.7472238689147062
0.1872511255627814,0.382987599698134,0.7478912227192352
0.18774637318659332,0.38364949755790967,0.7485563464481544
0.1882416208104052,0.38431080853548116,0.7492192466397978
0.1887368684342171,0.3849715356278479,0.7498799297900034
0.18923211605802903,0.3856316818131964,0.7505384023524868
0.18972736368184093,0.3862912500510756,0.7511946707392191
0.19022261130565285,0.3869502432825713,0.7518487413208035
0.19071785892946475,0.38760866443047737,0.7525006204268329
0.19121310655327664,0.38826651639946563,0.7531503143462629
0.19170835417708856,0.3889238020762537,0.7537978293277653
0.19220360180090046,0.3895805243297706,0.754443171580082
0.19269884942471238,0.3902366860113208,0.7550863472723796
0.19319409704852428,0.390892289954746,0.7557273625345936
0.19368934467233617,0.39154733897658556,0.7563662234577706
0.1941845922961481,0.3922018358762345,0.7570029360944108
0.19467983991996,0.39285578343609984,0.7576375064587972
0.19517508754377189,0.3935091844217558,0.7582699405273314
0.1956703351675838,0.39416204158209617,0.7589002442388602
0.1961655827913957,0.3948143576494857,0.7595284234949978
0.19666083041520763,0.3954661353399096,0.7601544841604473
0.19715607803901952,0.39611737735312114,0.7607784320633162
0.19765132566283142,0.39676808637278793,0.7614002729954311
0.19814657328664334,0.39741826506663624,0.7620200127126449
0.19864182091045524,0.39806791608659386,0.7626376569351453
0.19913706853426716,0.3987170420689314,0.7632532113477547
0.19963231615807905,0.39936564563440163,0.7638666816002325
0.20012756378189095,0.40001372938837815,0.7644780733075689
0.20062281140570287,0.4006612959209914,0.7650873920502785
0.20111805902951477,0.401308347807264,0.76569464337469
0.2016133066533267,0.4019548876072441,0.7662998327932324
0.20210855427713859,0.40260091786613766,0.7669029657847172
0.20260380190095048,0.403246441114439,0.7675040477946199
0.2030990495247624,0.40389145986806,0.7681030842353576
0.2035942971485743,0.40453597662845775,0.7687000804865607
0.2040895447723862,0.4051799938827611,0.7692950418953463
0.20458479239619812,0.40582351410389567,0.7698879737765847
0.20508004002001,0.40646653975070723,0.7704788814131664
0.20557528764382194,0.4071090732680844,0.7710677700562644
0.20607053526763383,0.4077511170870793,0.7716546449255897
0.20656578289144573,0.4083926736250274,0.772239511209656
0.20706103051525765,0.409033745285666,0.7728223740660256
